# RA	DEC	class	z	D (cm)	Objname	log(L_[OIII])	log(L_MIR)	log(L_x(2-10))			F_i(2-10)	F_i(14-195)	logNH(low-upper)	F_OIII(cgs	F_MIR(cgs)	L_MIR(lower limit)	H/S	cm/Mpc	c	H
#											10^-12 erg cm^-2 s^-1		cm^-2					3.09E+24	3.00E+05	67.8
15h33m20.71s	-08d42m01.9s		0.022706	3.10E+26	MCG-01-40-001	42.58326741	43.55749694	43.25210759			14.8	32.9	22.73[22.68-22.78]		1.20E-24		H			
13h22m24.46s	-16d43m42.5s	Sy1.9	0.019979	2.73E+26	MCG-03-34-064	41.80276873	44.34030977	43.59084815			41.7	41.9	23.80[23.78-23.82]		9.40E-24		H			
01h05m26.82s	-42d12m58.3s	Sy2	0.03026	4.13E+26	MCG-07-03-007	41.35628747	43.75020065	43.46802302			13.7	19.1	24.18[23.95-24.30]		1.05E-24	*	H			
13h22m24.457s	-16d43m42.46s		0.01780197604	2.43E+26	MCG-3-34-64	42.04800779	43.99357074	42.9						1.51E-12	0		H			
22h40m17.05s	08d03m14.1s	Sy1.5	0.02491	3.40E+26	MCG+01-57-016	41.77744026	43.86713283	43.03737332			7.5	16.5	20.0[20.0-20.0]		2.03E-24		H			
22h23m45.02s	11d50m09.0s	Sy1.9	0.02936	4.01E+26	MCG+02-57-002	41.63612402	43.31433039	42.627296			2.1	13.1	20.00[20.00-20.00]		4.10E-25		H			
20h28m35.06s	25d44m00.0s	Sy2	0.0139	1.90E+26	MCG+04-48-002	38.78490943	43.76806737	43.15528129			31.6	63.9	23.86[23.79-23.92]		5.20E-24		H			
01h22m34.43s	50d03m18.0s	Sy2	0.0202	2.76E+26	MCG+08-03-018	42.04409215	43.66139345	43.97765373			99.4	28.5	24.24[24.09-24.58]		1.93E-24		H			
07h47m29.13s	60d56m00.6s	Sy1.5	0.02916	3.98E+26	Mrk10	41.53067979	43.84049488	43.12521445			6.7	14.6	20.53[20.41-20.75]		1.40E-24		H			
08h04m05.86s	05d06m49.8s	Sy1.9	0.0135	1.84E+26	Mrk1210	41.51851348	43.72262122	43.14742804			32.9	61.5	23.40[23.32-23.46]		4.97E-24		H			
12h01m14.36s	-03d40m41.1s	Sy1.5	0.01915	2.61E+26	Mrk1310	40.97577853	42.65259128	42.719232			6.1	11.1	20.0[20.0-20.0]		2.10E-25		H			
15h05m56.55s	03d42m26.3s	Sy1.5	0.03555	4.85E+26	Mrk1392	41.80776706	43.97729218	43.10471227			4.3	17.7	20.0[20.0-20.0]		1.29E-24		H			
12h21m44.22s	75d18m38.8s	Sy1	0.07084	9.67E+26	Mrk205	42.4679491	44.12934936	43.89619651			6.7	17.3	20.0[20.0-20.0]		4.60E-25		H			
13h38m17.31s	48d16m32.0s		0.02873458932	3.92E+26	Mrk266SW	40.97527771	42.45357	42.2						4.90E-14	0		H			
06h15m36.36s	71d02m15.1s	Sy1.9	0.01321	1.80E+26	Mrk3	42.4430336	43.88865365	43.66674857			113.6	279.4	24.07[24.03-24.13]		7.60E-24		H			
00h06m19.52s	20d12m10.5s	Sy1.2	0.03509	4.79E+26	Mrk335	41.62753289	44.33655189	43.5			11.2	16.2	20.48[20.26-20.51]		3.02E-24		H			
01h27m32.55s	19d10m43.8s	Sy1.5	0.01668	2.28E+26	Mrk359	40.88514129	43.28670278	42.67727956			7.3	12.8	20.61[20.52-20.78]		1.19E-24		H			
13h56m02.87s	18d22m19.5s	Sy1.9	0.050355	6.88E+26	Mrk463	42.44058427	44.87751946	43.0958691			2.1	13.4	23.57[23.51-23.68]		5.10E-24		H			
14h40m38.10s	53d30m15.9s	Sy1.9	0.03768	5.15E+26	Mrk477	42.49861081	43.96747424	43.26214908			5.5	11	23.52[23.47-23.57]		1.12E-24		H			
